# Time		Signal_1	Signal_2	Signal_3	Signal_4
0 0 27.3205 -55.9576 20.6981
0.001 0.349062 27.3976 -56.1788 21.0083
0.002 0.698104 27.4736 -56.3976 21.3185
0.003 1.0471 27.5485 -56.6138 21.6285
0.004 1.39604 27.6224 -56.8276 21.9385
0.005 1.74489 27.6952 -57.0388 22.2483
0.006 2.09364 27.767 -57.2475 22.5581
0.007 2.44226 27.8377 -57.4537 22.8676
0.008 2.79073 27.9073 -57.6573 23.177
0.009 3.13904 27.9759 -57.8584 23.4862
0.01 3.48716 28.0433 -58.0568 23.7952
0.011 3.83507 28.1097 -58.2527 24.104
0.012 4.18274 28.175 -58.446 24.4125
0.013 4.53017 28.2392 -58.6366 24.7208
0.014 4.87732 28.3023 -58.8247 25.0287
0.015 5.22418 28.3643 -59.0101 25.3364
0.016 5.57073 28.4252 -59.1928 25.6437
0.017 5.91694 28.485 -59.3729 25.9507
0.018 6.26279 28.5437 -59.5503 26.2574
0.019 6.60827 28.6012 -59.7251 26.5636
0.02 6.95335 28.6577 -59.8971 26.8695
0.021 7.29801 28.713 -60.0665 27.175
0.022 7.64223 28.7672 -60.2331 27.48
0.023 7.98599 28.8202 -60.397 27.7846
0.024 8.32927 28.8722 -60.5582 28.0887
0.025 8.67205 28.923 -60.7166 28.3923
0.026 9.01431 28.9726 -60.8723 28.6954
0.027 9.35603 29.0211 -61.0252 28.998
0.028 9.69718 29.0685 -61.1754 29.3001
0.029 10.0377 29.1147 -61.3228 29.6016
0.03 10.3777 29.1598 -61.4674 29.9025
0.031 10.7171 29.2037 -61.6092 30.2028
0.032 11.0558 29.2465 -61.7482 30.5025
0.033 11.3938 29.2881 -61.8843 30.8016
0.034 11.7311 29.3285 -62.0177 31.1
0.035 12.0678 29.3678 -62.1482 31.3978
0.036 12.4037 29.4059 -62.2759 31.6949
0.037 12.7388 29.4429 -62.4008 31.9912
0.038 13.0732 29.4786 -62.5228 32.2869
0.039 13.4069 29.5132 -62.6419 32.5818
0.04 13.7397 29.5467 -62.7582 32.8759
0.041 14.0717 29.5789 -62.8716 33.1693
0.042 14.4028 29.61 -62.9821 33.4619
0.043 14.7331 29.6399 -63.0897 33.7537
0.044 15.0624 29.6686 -63.1945 34.0446
